Time,Number of Animals,Average sense radius, Average speed,Average reproduction threshold,Average passed energy
484,12,6996.511,999.4185,69380.03,30329.43
485,12,6996.511,999.4185,69380.03,30329.43
486,12,6996.511,999.4185,69380.03,30329.43
487,12,6996.511,999.4185,69380.03,30329.43
488,12,6996.511,999.4185,69380.03,30329.43
489,11,6931.392,993.4305,69280.06,30211.27
490,11,6931.392,993.4305,69280.06,30211.27
491,11,6931.392,993.4305,69280.06,30211.27
492,11,6931.392,993.4305,69280.06,30211.27
493,11,6931.392,993.4305,69280.06,30211.27
494,11,6931.392,993.4305,69280.06,30211.27
495,11,6931.392,993.4305,69280.06,30211.27
496,11,6931.392,993.4305,69280.06,30211.27
497,11,6931.392,993.4305,69280.06,30211.27
498,11,6931.392,993.4305,69280.06,30211.27
499,11,6931.392,993.4305,69280.06,30211.27
500,11,6931.392,993.4305,69280.06,30211.27
501,11,6931.392,993.4305,69280.06,30211.27
502,11,6931.392,993.4305,69280.06,30211.27
503,11,6931.392,993.4305,69280.06,30211.27
504,11,6931.392,993.4305,69280.06,30211.27
505,11,6931.392,993.4305,69280.06,30211.27
506,11,6931.392,993.4305,69280.06,30211.27
507,11,6931.392,993.4305,69280.06,30211.27
508,11,6931.392,993.4305,69280.06,30211.27
509,11,6931.392,993.4305,69280.06,30211.27
510,11,6931.392,993.4305,69280.06,30211.27
511,11,6931.392,993.4305,69280.06,30211.27
512,11,6931.392,993.4305,69280.06,30211.27
513,11,6931.392,993.4305,69280.06,30211.27
514,11,6931.392,993.4305,69280.06,30211.27
515,11,6931.392,993.4305,69280.06,30211.27
516,11,6931.392,993.4305,69280.06,30211.27
517,11,6931.392,993.4305,69280.06,30211.27
518,11,6931.392,993.4305,69280.06,30211.27
519,11,6931.392,993.4305,69280.06,30211.27
520,11,6931.392,993.4305,69280.06,30211.27
521,11,6931.392,993.4305,69280.06,30211.27
522,11,6931.392,993.4305,69280.06,30211.27
523,11,6931.392,993.4305,69280.06,30211.27
524,11,6931.392,993.4305,69280.06,30211.27
525,11,6931.392,993.4305,69280.06,30211.27
526,11,6931.392,993.4305,69280.06,30211.27
527,11,6931.392,993.4305,69280.06,30211.27
528,11,6931.392,993.4305,69280.06,30211.27
529,11,6931.392,993.4305,69280.06,30211.27
530,11,6931.392,993.4305,69280.06,30211.27
531,11,6931.392,993.4305,69280.06,30211.27
532,11,6931.392,993.4305,69280.06,30211.27
533,11,6931.392,993.4305,69280.06,30211.27
534,11,6931.392,993.4305,69280.06,30211.27
535,11,6931.392,993.4305,69280.06,30211.27
536,11,6931.392,993.4305,69280.06,30211.27
